genome_id,resistant_phenotype
"1773.13662","Susceptible"
"1773.39090","Susceptible"
"1733.10002","Susceptible"
"1773.19833","Susceptible"
"1773.36385","Susceptible"
"1773.31312","Susceptible"
"1773.41325","Susceptible"
"1773.3638","Susceptible"
"1773.15027","Susceptible"
"1773.38908","Resistant"
"1773.14577","Resistant"
"1773.32228","Resistant"
"1773.32784","Susceptible"
"1773.29334","Resistant"
"1773.19440","Susceptible"
"1773.43200","Susceptible"
"1773.43820","Susceptible"
"1733.2682","Resistant"
"1733.11018","Susceptible"
"1773.27394","Resistant"
"1773.1926","Resistant"
"1773.31858","Susceptible"
"1773.13440","Susceptible"
"1733.1114","Susceptible"
"1773.32137","Resistant"
"1773.40670","Susceptible"
"1773.32159","Resistant"
"1773.4495","Susceptible"
"1733.3664","Susceptible"
"1773.29018","Susceptible"
"1773.15266","Susceptible"
"1773.4759","Susceptible"
"1773.20215","Susceptible"
"1773.20934","Susceptible"
"1773.42404","Resistant"
"1773.21482","Susceptible"
"1733.3998","Susceptible"
"1422006.3","Resistant"
"1773.30658","Susceptible"
"1733.6759","Susceptible"
"1773.18510","Resistant"
"1773.21638","Susceptible"
"1733.8398","Susceptible"
"1733.2282","Resistant"
"1733.7718","Resistant"
"1733.2089","Resistant"
"1733.9292","Resistant"
"1773.35723","Resistant"
"1733.7432","Resistant"
"1773.14218","Susceptible"
"1733.7591","Resistant"
"1773.15755","Susceptible"
"1733.4549","Susceptible"
"1733.3797","Susceptible"
"1733.4663","Susceptible"
"1773.18948","Susceptible"
"1773.13223","Susceptible"
"1773.38961","Resistant"
"1773.42376","Susceptible"
"1773.39201","Susceptible"
"1733.3197","Susceptible"
"1773.34572","Resistant"
"1773.40350","Resistant"
"1773.5698","Susceptible"
"1773.34821","Resistant"
"1733.11223","Susceptible"
"1733.9592","Susceptible"
"1733.3807","Susceptible"
"1773.27162","Susceptible"
"1733.9407","Susceptible"
"1773.8127",
"1773.5645","Susceptible"
"1733.10745","Susceptible"
"1733.10152","Susceptible"
"1773.40274","Resistant"
"1773.18658","Resistant"
"1773.18828","Susceptible"
"1733.6653","Susceptible"
"1733.3166","Susceptible"
"1733.9234","Susceptible"
"1733.2564","Resistant"
"1733.1356","Resistant"
"1733.1914","Susceptible"
"1773.38645","Susceptible"
"1773.34862","Susceptible"
"1733.9642","Resistant"
"1773.15139","Susceptible"
"1773.21236","Susceptible"
"1773.29154","Susceptible"
"1773.5731","Susceptible"
"1773.37257","Susceptible"
"1733.2759","Resistant"
"1733.537","Resistant"
"1773.36793","Susceptible"
"1733.10150","Susceptible"
"1773.41541","Resistant"
"1773.42339","Susceptible"
"1773.42683","Susceptible"
"1773.16199","Susceptible"
"1733.5034","Susceptible"
"1773.2796","Resistant"
"1733.10981","Susceptible"
"1773.8301","Resistant"
"1773.15036","Susceptible"
"1733.8733","Resistant"
"1733.9615","Susceptible"
"1773.34824","Susceptible"
"1733.5944","Susceptible"
"1773.3343","Resistant"
"1733.4972","Susceptible"
"1733.4883","Susceptible"
"1733.9214","Resistant"
"1733.2013","Susceptible"
"1773.15249","Resistant"
"1773.21584","Susceptible"
"1733.10812","Susceptible"
"1733.2221","Resistant"
"1733.10102","Susceptible"
"2583590.6","Susceptible"
"1733.2644","Resistant"
"1773.42409","Susceptible"
"1733.2065","Susceptible"
"1773.42098","Susceptible"
"1773.34814","Susceptible"
"1773.34952","Susceptible"
"1733.3619","Susceptible"
"1773.20174","Susceptible"
"1733.4640","Susceptible"
"1733.5597","Susceptible"
"1773.39551","Resistant"
"1733.1486","Susceptible"
"1773.32486","Resistant"
"1733.3797","Susceptible"
"1773.35190","Susceptible"
"1773.2972","Susceptible"
"1733.8057","Susceptible"
"1773.33197","Resistant"
"1773.36826","Susceptible"
"1773.14923","Susceptible"
"1733.7496","Susceptible"
"1773.31608","Resistant"
"1773.35332","Susceptible"
"1773.19363","Resistant"
"1773.15366","Susceptible"
"1773.5027","Susceptible"
"1733.6013","Susceptible"
"1397899.3","Susceptible"
"1773.41348","Resistant"
"1438881.3","Susceptible"
"1773.17848","Resistant"
"1773.29992","Susceptible"
"1773.31636","Resistant"
"1773.37572","Susceptible"
"1773.18426","Susceptible"
"1773.36843","Susceptible"
"1733.6864","Susceptible"
"1773.2875","Susceptible"
"1773.25625","Resistant"
"1733.8663","Resistant"
"1733.9940","Resistant"
"1773.41736","Resistant"
"1773.16277","Susceptible"
"1733.8639","Susceptible"
"1773.39134","Susceptible"
"1773.18949","Susceptible"
"1773.13936","Susceptible"
"1733.5330","Susceptible"
"1773.29202","Resistant"
"1733.9040","Resistant"
"1733.8934","Resistant"
"1773.21597","Resistant"
"1773.19326","Susceptible"
"1773.35895","Susceptible"
"1773.28117","Susceptible"
"1773.14073","Susceptible"
"1773.42322","Resistant"
"1773.18638","Resistant"
"1733.693","Resistant"
"1733.10623","Susceptible"
"1733.2394","Resistant"
"1773.20496","Resistant"
"1773.22827","Susceptible"
"1733.2686","Susceptible"
"1733.4105","Susceptible"
"1448411.3","Susceptible"
"1733.5432","Susceptible"
"1773.36482","Resistant"
"1773.42818","Resistant"
"1733.5090","Susceptible"
"1773.39845","Resistant"
"1773.17275","Susceptible"
"1733.3007","Susceptible"
"1773.15974","Susceptible"
"1733.9220","Susceptible"
"1733.1590","Resistant"
"1773.10742","Resistant"
"1773.32601","Resistant"
"1773.14797","Resistant"
"1773.1915","Susceptible"
"1733.8967","Resistant"
"1773.41965","Resistant"
"1773.1012","Resistant"
"1733.7357","Resistant"
"1733.7840","Susceptible"
